from,to,relation
HPR,TG,1
MF,TG,1
FH,TG,1
MF,P,1
MF,CD,1
MF,DB,1
MA,TG,1
FS,TG,1
MF,MA,1
MF,FS,1
ME,TG,1
ME,BW,1
ME,KSK,1
CW,TG,1
CW,CD,1
CW,GS,2
GS,CW,2
GS,AFD,1
CW,AFD,1
GS,SO,1
CW,SO,1
FR,SO,1
FR,CDU,1
CW,Ã–S,1
CW,VP,1
RHL,TG,1
RHL,AFD,1
RVP,TG,1
RVP,KSK,1
RVP,BW,1
RVP,MA,1
RVP,FS,1
PG,TG,1
PG,CD,1
MVH,TG,1
MVH,KSK,1
MVH,BW,1
MVH,CD,1
MR,TG,1
MR,MF,4
PW,TG,1
PW,BW,1
PW,RVP,2
PW,FS,1
RR,TG,1
RR,CD,1
BMW,TG,1
BMW,AFD,1
AM,KSK,1
MF,R,1
PG,R,1
MR,R,1
RR,R,1
BMW,R,1
ME,HPR,3
HPR,ME,3
CW,FR,3
CW,FR,3